YKL079W	YLR206W
YHR143W-A	YPR010C
YDR439W	YBL097W
YKL159C	YKL019W
YMR198W	YMR077C
YLR332W	YHR193C
YOL133W	YGL060W
YDL153C	YNL280C
YOR043W	YLR019W
YHR114W	YLR426W
YPL240C	YJL117W
YPL203W	YKL166C
YLR254C	YAL028W
YJR112W	YIR017C
YLR455W	YLR223C
YOL065C	YDR479C
YPL146C	YGR089W
YFR042W	YPR159W
YNL118C	YBL054W
YLR332W	YHR192W
YKL042W	YDR201W
YKR068C	YCR086W
YGR060W	YGL001C
YGL058W	YLR024C
YDR388W	YDL139C
YIL061C	YBR112C
YPR199C	YOL088C
YBL007C	YKL054C
YLR082C	YHL010C
YMR117C	YIL159W
YPL242C	YDR264C
YJR118C	YPL094C
YER062C	YBR182C
YJL034W	YNL061W
YDR378C	YOR320C
YLR314C	YJR021C
YGR089W	YLR315W
YGR089W	YNL113W
YGR180C	YOR229W
YDR295C	YCR048W
YKL181W	YHL011C
YER112W	YKL209C
YGR130C	YLR166C
YPL020C	YMR071C
YNL118C	YBL037W
YHR077C	YGR072W
YDL043C	YKL155C
YKR022C	YER172C
YBR270C	YDR259C
YER018C	YHR206W
YJL157C	YAL041W
YPR173C	YKR035W-A
YLR310C	YLR019W
YMR080C	YPL081W
YLR399C	YKR035W-A
YHR165C	YML046W
YDR510W	YDR330W
YMR277W	YAL047C
YDL130W	YDR382W
YFL023W	YDR468C
YBR102C	YDR229W
YCR086W	YPR187W
YKL071W	YPL157W
YOR119C	YOR336W
YCR084C	YPL249C
YMR032W	YCR002C
YPL232W	YPL249C
YNL012W	YBR250W
YDL065C	YDR329C
YOL091W	YOR373W
YBR205W	YIR038C
YLR238W	YDR200C
YGR142W	YHR009C
YAL040C	YJL013C
YER133W	YNL233W
YMR294W	YHR080C
YNL118C	YBL034C
YFR024C-A	YMR192W
YDL030W	YDR421W
YLR079W	YLR113W
YIL159W	YMR280C
YFL003C	YDL154W
YJL074C	YLR086W
YMR001C	YEL017W
YPL070W	YGL037C
YLR067C	YER153C
YOR181W	YHR156C
YJL030W	YIL122W
YPL032C	YLR315W
YDR477W	YBR066C
YOL054W	YKR034W
YDR080W	YDR495C
YDL226C	YBR164C
YLR200W	YLR206W
YER172C	YNR016C
YJL049W	YDR468C
YDL239C	YLR423C
YLR345W	YLR321C
YOR344C	YGR120C
YKL189W	YOR353C
YBR167C	YBR257W
YMR240C	YLR090W
YML085C	YOR269W
YDL239C	YML042W
YFR036W	YCR077C
YNL189W	YDR100W
YBL007C	YMR313C
YNL086W	YGR120C
YNL161W	YHL007C
YLR449W	YPL146C
YOR254C	YOR383C
YJR134C	YGR059W
YHR135C	YER079W
YGR252W	YDR448W
YBR160W	YMR181C
YLR254C	YOL028C
YIL038C	YGR238C
YNL189W	YFL039C
YHR080C	YKL138C-A
YOL088C	YNL084C
YER165W	YGR218W
YDR099W	YGR214W
YMR109W	YDR388W
YJR022W	YLR264W
YBR260C	YER144C
YOR117W	YLR025W
