YMR032W	YER032W
YMR002W	YCR077C
YCL034W	YBL007C
YNL236W	YJR072C
YAR014C	YMR026C
YJR062C	YNL124W
YNL075W	YGR081C
YLR321C	YPL070W
YBR264C	YNL044W
YOL036W	YIL046W
YGL170C	YFL009W
YOR359W	YML051W
YER092W	YDL002C
YNL078W	YBL085W
YLR321C	YHR040W
YDR295C	YJR112W
YHL009C	YDR132C
YER112W	YJL155C
YKR054C	YNL118C
YOR281C	YMR022W
YLR259C	YPL240C
YBR101C	YAL005C
YLR314C	YER118C
YCR041W	YNL124W
YGR108W	YBR034C
YNL333W	YFL059W
YDR449C	YGR090W
YPL233W	YJL147C
YCL068C	YMR022W
YHR056C	YLR424W
YNL008C	YMR022W
YBL007C	YKR022C
YLR376C	YDR078C
YDR174W	YNL310C
YPR026W	YMR022W
YIL029C	YJR072C
YDR388W	YOR357C
YNL298W	YOL133W
YCL027W	YFL039C
YDR299W	YLR008C
YHR154W	YLR320W
YDR122W	YPR120C
YJL085W	YBR057C
YPL174C	YJL036W
YER008C	YBL085W
YPL253C	YBR034C
YLR277C	YAL043C
YNL175C	YPL043W
YBR126C	YNL310C
YBR150C	YOL089C
YGL096W	YJL011C
YAL044W-A	YER174C
YDR385W	YBR068C
YDL089W	YJL097W
YNL084C	YKL129C
YMR001C	YJL187C
YGL225W	YNL124W
YCR030C	YDR158W
YHR112C	YBR034C
YCL059C	YKL078W
YGL079W	YGR113W
YLR088W	YBL007C
YGR130C	YDL192W
YDL117W	YPL158C
YFR016C	YHR122W
YER146W	YGR210C
YNL026W	YKL088W
YDR195W	YAR014C
YFL055W	YMR022W
YBR265W	YNL124W
YNL189W	YOR229W
YIR039C	YDL138W
YNL224C	YLR424W
YDR330W	YOL133W
YHR166C	YBR034C
YDR510W	YNL042W
YJR135C	YPR046W
YDL160C	YDL017W
YGR120C	YNL287W
YDR085C	YLR423C
YJL139C	YDR378C
YNL023C	YDR267C
YML029W	YLL014W
YGR120C	YDR311W
YNL288W	YGR024C
YMR039C	YMR022W
YHR113W	YJL030W
YLR368W	YDL132W
YLR094C	YKL088W
YNR054C	YDR449C
YGL211W	YIL008W
YJL112W	YHL004W
YDL084W	YDR510W
YNL159C	YBR034C
YGL187C	YBR133C
YER047C	YCL032W
YJL191W	YMR022W
YDL100C	YOL126C
YGR211W	YMR022W
YDR283C	YGL195W
YFL034C-B	YNL124W
YGL222C	YGL209W
YLR095C	YDR110W
YPR191W	YBL045C
YJL124C	YGR158C
YHL028W	YOL133W
YIL021W	YDL134C
YLR291C	YOL130W
YLL029W	YMR022W
YDR469W	YLR432W
YLR424W	YGL023C
YDR034C	YLR105C
YHR113W	YKL103C
YDR032C	YBR052C
YDR060W	YFR001W
YML092C	YBR034C
YLR423C	YJL058C
YLR335W	YLR293C
YNL224C	YJL033W
YGL198W	YDR311W
YHR114W	YNL124W
YBL026W	YOR191W
YDR060W	YPL093W
YJL061W	YMR153W
YJR022W	YNL329C
YFL038C	YOR370C
YGL210W	YNL263C
YML038C	YPL063W
YHR161C	YGL181W
YMR109W	YJL128C
YPL088W	YLR291C
YOL043C	YCL032W
YOR279C	YMR022W
YIL152W	YJL112W
YMR069W	YHR005C
YER127W	YIL035C
YNR010W	YPR070W
YPL246C	YBL007C
YOR353C	YBR160W
YBR057C	YDR034C
YDL175C	YPL093W
YOL041C	YPL043W
YKL145W	YNL124W
YGR134W	YBR200W
YPL075W	YMR022W
YER069W	YBR034C
YEL009C	YLR008C
YPL014W	YPL240C
YHR121W	YDR480W
YKL103C	YDR311W
YMR273C	YMR255W
YLR462W	YKR086W
YLL001W	YIL153W
YLR212C	YHR172W
YOL137W	YBR034C
YOR353C	YNL124W
YGR286C	YMR070W
YOR362C	YGL011C
YJR046W	YDR520C
YMR309C	YNL244C
YKL019W	YDL090C
YKL125W	YNL124W
YER086W	YPL070W
YCR020C-A	YBL026W
YDR132C	YJR102C
YNL086W	YEL005C
YNL145W	YMR022W
YHR016C	YLR426W
YCR088W	YIR003W
YDR448W	YCR083W
YNL288W	YPL037C
YGR089W	YHL010C
YDR318W	YMR117C
YKR048C	YOL059W
YDL064W	YDR510W
YHR037W	YPL240C
YOR083W	YPL240C
YGR217W	YBR034C
YML051W	YDR123C
YPL151C	YAL032C
YHR181W	YLR008C
YGL093W	YHR083W
YNR007C	YBR217W
YPL184C	YFR003C
YNL135C	YPL049C
YFL010C	YFR024C-A
YMR133W	YJR021C
YDR365C	YHR065C
YDR423C	YBL007C
YGR203W	YLR397C
YKL173W	YJL124C
YLR273C	YHR083W
YOR004W	YCL059C
YJL183W	YIR038C
YJL218W	YLR291C
YJL033W	YIL035C
YDL102W	YNL124W
YDR390C	YMR022W
YNR013C	YNL124W
YLR191W	YNL094W
YDL070W	YER133W
YGL198W	YGL210W
YLR253W	YHR122W
YDR238C	YDL145C
YKL152C	YMR109W
YGL208W	YHR122W
YDR084C	YHR105W
YGL241W	YLR293C
YHR148W	YNL224C
YER112W	YLR275W
YPL026C	YHR083W
YER125W	YMR316W
YHR185C	YHR014W
YJR116W	YBR254C
YNR069C	YBR017C
YPR184W	YJL020C
YML028W	YNL189W
YDR446W	YJL036W
YDR307W	YMR022W
YCR009C	YDR388W
YBR205W	YPR107C
YDR484W	YDR027C
YMR294W	YLL049W
YKL088W	YIL083C
YFR040W	YFR024C-A
YMR290C	YNL224C
YMR096W	YNL334C
YPL170W	YDR311W
YJR091C	YLR392C
YCR020C-A	YJR022W
YDR408C	YPR154W
YDR506C	YDR228C
YMR314W	YBL023C
YML052W	YAR014C
YBL007C	YML097C
YGR090W	YJL069C
YGR120C	YER157W
YJL151C	YDL226C
YHL031C	YMR022W
YAL011W	YDL181W
YLR430W	YER133W
YHR207C	YDR490C
YNL289W	YMR022W
YGR089W	YLR086W
YPL174C	YGR002C
YOR301W	YMR022W
YPL024W	YDR311W
YGR280C	YGR159C
YDL239C	YDR176W
YJR078W	YKL088W
YBL014C	YJL025W
YLL050C	YMR092C
YLR078C	YPL240C
YGL143C	YCR077C
YMR288W	YKL074C
YOR181W	YPR154W
YOR323C	YOL022C
YAL032C	YOR353C
YGR211W	YBR122C
YBR072W	YDL239C
YLR227C	YOL091W
YNL229C	YLR310C
YGR251W	YOR061W
YJL056C	YHL027W
YMR095C	YBR261C
YJL030W	YGL229C
YBR166C	YLR291C
YBL088C	YBL007C
YMR159C	YPL240C
YBR135W	YAR027W
YNL164C	YNL091W
YHR152W	YMR022W
YLR098C	YDL057W
YOR355W	YLR191W
YDL208W	YDR510W
YKL002W	YJL097W
YOR111W	YDR373W
YGR177C	YMR071C
YJR010C-A	YIR038C
YMR025W	YDR179C
YJL013C	YAL040C
YBR035C	YPL240C
YOL055C	YDR531W
YGL174W	YMR288W
YKL172W	YHR066W
